"player","tournament.name","pos_lag_tourny","sg_putt_lag_tourny","sg_arg_lag_tourny","sg_app_lag_tourny","sg_ott_lag_tourny","sg_t2g_lag_tourny","sg_total_lag_tourny","pos_lag_player","sg_putt_lag_player","sg_arg_lag_player","sg_app_lag_player","sg_ott_lag_player","sg_t2g_lag_player","sg_total_lag_player","trend_pos_r3","pos_log_reg"
"Abraham Ancer","The Memorial Tournament pres. by Nationwide",58,1.29,-0.09,-1.88,0.36,-1.61,-0.32,9,0.97,-0.22,1.15,0.68,1.61,2.58,35.6666666666667,0
"Adam Hadwin","The Memorial Tournament pres. by Nationwide",54,-0.21,0.49,-0.1,-0.25,0.14,-0.07,71,-0.01,0.4,-0.08,-0.98,-0.66,-0.67,33.6666666666667,0
"Aaron Rai","The Memorial Tournament pres. by Nationwide",NA,NA,NA,NA,NA,NA,NA,68,-0.6,-0.34,-0.05,-0.39,-0.78,-1.38,46,0
"Adam Schenk","The Memorial Tournament pres. by Nationwide",65,0.06,-0.38,-0.03,-0.59,-1.01,-0.94,41,1.15,-0.4,0.66,-0.34,-0.07,1.08,43,0
"Adam Scott","The Memorial Tournament pres. by Nationwide",16,0.77,0.81,-0.01,-0.04,0.76,1.53,32,0.23,0.26,-0.12,0.66,0.8,1.03,35.3333333333333,0
"Adam Svensson","The Memorial Tournament pres. by Nationwide",NA,NA,NA,NA,NA,NA,NA,40,0.39,-0.76,0.54,0.2,-0.02,0.37,45,0
"Aaron Wise","The Memorial Tournament pres. by Nationwide",9,0.62,0.48,0.77,0.41,1.66,2.28,23,1.22,-0.17,0.8,-0.02,0.61,1.83,26.6666666666667,1
"Brian Harman","The Memorial Tournament pres. by Nationwide",27,0.18,-0.69,1.11,0.45,0.87,1.06,34,0.04,0.55,1.27,-0.53,1.29,1.33,26,0
"Billy Horschel","The Memorial Tournament pres. by Nationwide",67,-0.19,-1.4,-1.48,0.84,-2.03,-2.22,68,0.01,0.86,-0.62,-0.42,-0.18,-0.17,44,1
"Beau Hossler","The Memorial Tournament pres. by Nationwide",44,0.6,-0.45,-0.39,0.6,-0.23,0.37,21,-0.25,0.56,0.68,0.39,1.63,1.37,35.6666666666667,0
"Brandt Snedeker","The Memorial Tournament pres. by Nationwide",NA,NA,NA,NA,NA,NA,NA,57,-0.12,0.01,0.82,-1.09,-0.26,-0.38,29.6666666666667,0
"Brendan Steele","The Memorial Tournament pres. by Nationwide",37,0.17,-0.5,0.21,0.64,0.36,0.53,9,-0.06,0.29,1.85,0.49,2.64,2.58,36,1
"Brandon Wu","The Memorial Tournament pres. by Nationwide",NA,NA,NA,NA,NA,NA,NA,51,1,0.5,-1.06,-0.15,-0.72,0.28,27,0
"Corey Conners","The Memorial Tournament pres. by Nationwide",53,0.55,-0.36,-1.09,0.44,-1.02,-0.47,21,0.6,0.06,-0.19,1.3,1.16,1.76,13,0
"Cameron Davis","The Memorial Tournament pres. by Nationwide",NA,NA,NA,NA,NA,NA,NA,7,0.52,0.47,0.81,0.33,1.6,2.12,19.3333333333333,0
"Charles Howell III","The Memorial Tournament pres. by Nationwide",48,0.65,0.84,-1.21,-0.1,-0.47,0.18,33,-1.52,0.94,0.22,1.31,2.46,0.94,23,0
"Chan Kim","The Memorial Tournament pres. by Nationwide",NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,28,0
"Chris Kirk","The Memorial Tournament pres. by Nationwide",26,0.7,0.88,0,-0.55,0.33,1.03,15,0.54,0.63,0.03,0.42,1.08,1.62,18.3333333333333,0
"Carlos Ortiz","The Memorial Tournament pres. by Nationwide",16,-0.73,0.17,2.36,-0.27,2.26,1.53,38,-0.19,-0.03,1.03,-0.02,0.98,0.78,42.6666666666667,0
